N,Name,Current Price,Change,Change Rate,Volume,Trading Value,Market Cap,Shares,Foreign Ratio,PER,ROE,토론
1791,메리츠 3X 레버리지 국채10년 ETN,"22,245",하락20,-0.09%,0,111,500,0.00,"1,035",N/A,N/A,
1792,대원전선우,"4,240",하락60,-1.40%,500,111,"2,621",0.89,"16,606",41.98,N/A,
1793,KCGI 미국S&P500 TOP10,"10,095",하락235,-2.27%,0,111,"1,100",0.00,"44,934",N/A,N/A,
1794,삼양사우,"30,000",보합0,0.00%,"5,000",111,370,0.90,1,2.56,N/A,
1795,신한 인버스 구리 선물 ETN(H),"5,530",상승60,+1.10%,0,111,"2,000",0.00,1,N/A,N/A,
1796,TIGER KRX기후변화솔루션,"11,050",하락65,-0.58%,0,110,"1,000",0.00,12,N/A,N/A,
1797,메리츠 S&P 유럽탄소배출권 선물 ETN(H),"11,030",보합0,0.00%,0,110,"1,000",0.00,0,N/A,N/A,
1798,ACE 멕시코MSCI(합성),"12,250",하락20,-0.16%,0,110,900,0.00,493,N/A,N/A,
1799,PLUS 고배당주위클리커버드콜,"10,500",상승70,+0.67%,0,110,"1,050",0.00,"100,466",N/A,N/A,
1800,미래에셋 인도네시아 금속&에너지 Top5 ETN,"10,980",상승110,+1.01%,0,110,"1,000",0.00,3,N/A,N/A,
1801,HANARO K-뷰티,"11,550",하락75,-0.65%,0,110,950,0.00,"1,378",N/A,N/A,
1802,한투 S&P 유럽탄소배출권 선물 ETN(H),"10,965",보합0,0.00%,0,110,"1,000",0.00,0,N/A,N/A,
1803,대신 3X 레버리지 국채10년 ETN,"21,930",하락65,-0.30%,0,110,500,0.00,2,N/A,N/A,
1804,TIGER 원유선물인버스(H),"2,810",상승25,+0.90%,0,110,"3,900",0.00,"6,578",N/A,N/A,
1805,메리츠 3X 레버리지 국채5년 ETN,"21,905",보합0,0.00%,0,110,500,0.00,0,N/A,N/A,
1806,N2 인버스 레버리지 WTI원유 선물 ETN(H),73,상승1,+1.39%,0,110,"150,000",0.00,"31,652",N/A,N/A,
1807,메리츠 국채3년 ETN,"10,940",보합0,0.00%,0,109,"1,000",0.00,0,N/A,N/A,
1808,신한 인버스 금 선물 ETN(H),"5,470",보합0,0.00%,0,109,"2,000",0.00,"7,031",N/A,N/A,
1809,신한 S&P 레버리지 유로 선물 ETN(H),"10,915",보합0,0.00%,0,109,"1,000",0.00,0,N/A,N/A,
1810,대신 천연가스 선물 ETN(H),"3,635",상승55,+1.54%,0,109,"3,000",0.00,"3,773",N/A,N/A,
1811,메리츠 3X 레버리지 국채3년 ETN,"21,760",상승5,+0.02%,0,109,500,0.00,2,N/A,N/A,
1812,JW중외제약우,"31,750",상승500,+1.60%,"2,500",109,342,0.02,20,22.17,N/A,
1813,신한 코스피 200 TR ETN,"10,855",하락100,-0.91%,0,109,"1,000",0.00,"4,608",N/A,N/A,
1814,TIGER 코스닥150선물인버스,"3,805",상승35,+0.93%,0,108,"2,850",11.06,"57,831",N/A,N/A,
1815,메리츠 미국채30년 ETN,"10,790",상승5,+0.05%,0,108,"1,000",0.00,1,N/A,N/A,
1816,신한 S&P 유로 선물 ETN(H),"10,785",보합0,0.00%,0,108,"1,000",0.00,0,N/A,N/A,
1817,삼성 코스피 200 TR ETN,"10,785",하락170,-1.55%,0,108,"1,000",0.00,106,N/A,N/A,
1818,KODEX 미국서학개미,"12,675",하락220,-1.71%,0,108,850,0.00,598,N/A,N/A,
1819,메리츠 KAP 레버리지 중국 위안화 ETN,"21,545",보합0,0.00%,0,108,500,0.00,0,N/A,N/A,
1820,대신 국채10년 ETN,"10,740",보합0,0.00%,0,107,"1,000",0.00,0,N/A,N/A,
1821,삼성 인버스 China A50 선물 ETN(H),"10,705",보합0,0.00%,0,107,"1,000",0.00,0,N/A,N/A,
1822,KODEX 운송,"4,855",하락65,-1.32%,0,107,"2,200",0.00,"1,443",N/A,N/A,
1823,메리츠 인버스 국채10년 ETN,"10,665",보합0,0.00%,0,107,"1,000",0.00,0,N/A,N/A,
1824,한투 인버스 2X 은 선물 ETN,"10,635",상승105,+1.00%,0,106,"1,000",0.00,295,N/A,N/A,
1825,FOCUS KRX300,"17,720",보합0,0.00%,0,106,600,0.00,0,N/A,N/A,
1826,RISE 글로벌비만산업TOP2+,"11,185",하락95,-0.84%,0,106,950,0.00,"15,587",N/A,N/A,
1827,RISE 중국MSCI China(H),"7,300",하락35,-0.48%,0,106,"1,450",0.00,44,N/A,N/A,
1828,KODEX 미국S&P500경기소비재,"13,230",하락240,-1.78%,0,106,800,0.00,"1,415",N/A,N/A,
1829,메리츠 KAP 중국 위안화 ETN,"10,570",보합0,0.00%,0,106,"1,000",0.00,0,N/A,N/A,
1830,SOL 유럽탄소배출권선물S&P(H),"10,560",하락20,-0.19%,0,106,"1,000",0.00,183,N/A,N/A,
1831,SOL 국고채30년액티브,"52,690",하락45,-0.09%,0,105,200,0.00,16,N/A,N/A,
1832,WOORI 한국부동산TOP3플러스,"10,515",보합0,0.00%,0,105,"1,000",0.00,75,N/A,N/A,
1833,삼성 인버스 코스피 200 선물 ETN,"10,505",상승140,+1.35%,0,105,"1,000",0.00,925,N/A,N/A,
1834,코오롱모빌리티그룹우,"4,265",하락85,-1.95%,500,105,"2,456",0.01,11,"-1,066.25",N/A,
1835,미래에셋 레버리지 옥수수 선물 ETN,"10,465",하락60,-0.57%,0,105,"1,000",0.00,819,N/A,N/A,
1836,KODEX 200 중소형,"13,075",하락140,-1.06%,0,105,800,0.00,293,N/A,N/A,
1837,메리츠 미국채10년 ETN,"10,445",상승35,+0.34%,0,104,"1,000",0.00,28,N/A,N/A,
1838,TIGER 미국나스닥넥스트100,"12,265",하락130,-1.05%,0,104,850,10.63,6,N/A,N/A,
1839,메리츠 인버스 2X 국채10년 ETN,"10,420",보합0,0.00%,0,104,"1,000",0.00,0,N/A,N/A,
1840,신한 S&P 인버스 유로 선물 ETN(H),"10,405",보합0,0.00%,0,104,"1,000",0.00,0,N/A,N/A,
1841,메리츠 레버리지 대표 농산물 선물 ETN(H),"10,385",상승65,+0.63%,0,104,"1,000",0.00,134,N/A,N/A,
1842,KB 레버리지 미국채 30년 ETN,"20,730",보합0,0.00%,0,104,500,0.00,0,N/A,N/A,
1843,한투 블룸버그 WTI원유 선물 ETN,"10,360",하락175,-1.66%,0,104,"1,000",0.00,4,N/A,N/A,
